Questions,Answers,
 What is polymorphism in C++?,"Polymorphism in simple means having many forms. Its behavior is different in different situations. And this occurs when we have multiple classes that are related to each other by inheritance. For example, think of a base class called a car that has a method called car brand(). Derived classes of cars could be Mercedes, BMW, Audi - And they also have their own implementation of a carsThe two types of polymorphism in c++ are: Compile Time Polymorphism Runtime Polymorphism",
 What do you know about friend class and friend function?,"A friend class can access private, protected, and public members of other classes in which it is declared as friends. Like friend class, friend function can also access private, protected, and public members. But, Friend functions are not member functions.",
 What is Name Mangling?,"C++ compiler encodes the parameter types with function/method into a unique name. This process is called name mangling. The inverse process is called as demangling.Example: A::b(int, long) const is mangled as . For a constructor, the method name is left out. That is A:: A(int, long) const is mangled as  -C3Ail.",
 What are Virtual Functions?,"A virtual function allows the derived classes to replace the implementation provided by the base class. Whenever we have functions with the same name in the base as well as derived class, there arises an ambiguity when we try to access the child class object using a base class pointer.  As we are using a base class pointer, the function that is called is the base class function with the same name.To correct this ambiguity we use the keyword virtual before the function prototype in the base class. In other words, we make this polymorphic function Virtual. By using a Virtual function, we can remove the ambiguity and we can access all the child class functions correctly using a base class pointer.",
 What do you mean by Pure Virtual Functions?,A Pure Virtual Member Function is a member function in which the base class forces the derived classes to override. Normally this member function has no implementation. Pure virtual functions are equated to zero. Base class that has a pure virtual function as its member can be termed as an Abstract class. This class cannot be instantiated and it usually acts as a blueprint that has several sub-classes with further implementation. What is,
 What is a friend function?,"C++ class does not allow its private and protected members to be accessed outside the class. But this rule can be violated by making use of the Friend function.As the name itself suggests, friend function is an external function that is a friend of the class. For friend function to access the private and protected methods of the class, we should have a prototype of the friend function with the keyword friend included inside the class.",
 What is a friend class?,"Friend classes are used when we need to override the rule for private and protected access specifiers so that two classes can work closely with each other. Hence, we can have a friend class to be a friend of another class. This way, friend classes can keep private, inaccessible things in the way they are. When we have a requirement to access the internal implementation of a class (private member) without exposing the details by making the public, we go for friend functions.",
 What is Exception Handling? Does C++ support Exception Handling?,"Yes C++ supports exception handling. We cannot ensure that code will execute normally at all times. There can be certain situations that might force the code written by us to malfunction, even though it error-free. This malfunctioning of code is called Exception. When an exception has occurred, the compiler has to throw it so that we know an exception has occurred. When an exception has been thrown, the compiler has to ensure that it is handled properly, so that the program flow continues or terminates properly. This is called the handling of an exception. Thus in C++, we have three keywords i.e. try, throw and catch which are in exception handling.",
 What is an Iterator class?,"In C++ a container class is a collection of different objects. If we need to traverse through this collection of objects, we cannot do it using simple index variables. Hence, we have a special class in STL called an Iterator class which can be used to step through the contents of the container class.The various categories of iterators include input iterators, output iterators, forward iterators, bidirectional iterators, random access, etc.",
 What is the difference between an External Iterator and an Internal Iterator? Describe an advantage of the External Iterator.,"An internal iterator is implemented with member functions of the class that has items to step through.An external iterator is implemented as a separate class that can be bound to the object that has items to step through. The basic advantage of an External iterator is that it easy to implement as it is implemented as a separate class.Secondly, as it a different class, many iterator objects can be active simultaneously.",
 What is vector in C++?,"A sequence of containers to store elements, a vector is a template class of C++. Vectors are used when managing ever-changing data elements. The syntax of creating vector.vector (type) variable (number of elements)",
 How to use map in C++?,Associative containers storing a combination of a key value or mapped value is called Maps.,
What is namespace std; and what is consists of?,"Namespace std; defines your standard C++ library, it consists of classes, objects and functions of the standard C++ library. You can specify the library by using namespace std or std: : throughout the code. Namespace is used to differentiate the same functions in a library by defining the name.",
 Explain what is upcasting in C++?,Upcasting is the act of converting a sub class references or pointer into its super class reference or pointer is called upcasting.,
 Explain what is pre-processor in C++?,"Pre-processors are the directives, which give instruction to the compiler to pre-process the information before actual compilation starts.",
 Define token in C++.,"A token in C++ can be a keyword, identifier, literal, constant and symbol.",
 What is function overriding?,"If you inherit a class into a derived class and provide a definition for one of the base class's function again inside the derived class, then this  function is called overridden function, and this mechanism is known as function overriding.",
 What is a pure virtual function?,The pure virtual function is a virtual function which does not contain any definition. The normal function is preceded with a keyword virtual. The pure virtual function ends with 0. Syntax of a pure virtual function: virtual void abc()=0;//pure virtual function.,
 What is the difference between function overloading and operator overloading?,Function overloading: Function overloading is defined as we can have more than one version of the same function. The versions of a function will have different signature  means that they have a different set of parameters.Operator overloading: Operator overloading is defined as the standard operator can be redefined so that it has a different meaning when applied to the instances of a class.,
 What is a virtual destructor?,"A virtual destructor in C++ is used in the base class so that the derived class object can also be destroyed. A virtual destructor is declared by  using the ~ tilde operator and then virtual keyword before the constructor.\xf0\x9f\x92\xa1 Constructor cannot be virtual, but destructor can be virtual.",
 If class D is derived from a base class B. When creating an object of type D in what order would the constructors of these classes get called?,"The derived class has two parts, a base part, and a derived part.  When C++ constructs derived objects, it does so in phases. First, the most-base class(at the top of the inheritance tree) is  constructed. Then each child class is constructed in order until the most-child class is constructed last. So the first Constructor of class B will be called and then the constructor of class D will be called.During the destruction exactly reverse order is followed. That is destructor starts at the most-derived class and works its way down to base class. So the first destructor of class D will be called and then the destructor of class B will be called.",
 Can we call a virtual function from a constructor?,"Yes, we can call a virtual function from a constructor. But the behavior is a little different in this case. When a virtual function is called, the virtual call is resolved at runtime.  It is always the member function of the current class that gets called. That is the virtual machine doesnt work within the constructor.",
 What do you mean by void return type?,"All functions should return a value as per the general syntax. However, in case, if we dont want a function to return any value, we use void to indicate that. This means that we use void to indicate that the function has no return value or it returns void.",
Explain Pass by Value and Pass by Reference.,"While passing parameters to the function using Pass by Value, we pass a copy of the parameters to the function.Hence, whatever modifications are made to the parameters in the called function are not passed back to the calling function. Thus the variables in the calling function remain unchanged.",
What are Default Parameters? How are they evaluated in the C++ function?,"Default Parameter is a value that is assigned to each parameter while declaring a function. This value is used if that parameter is left blank while calling to the function. To specify a default value for a particular parameter, we simply assign a value to the parameter in the function declaration.If the value is not passed for this parameter during the function call, then the compiler uses the default value provided. If a value is specified, then this default value is stepped on and the passed value is used.",
Why are arrays usually processed with for loop?,"Array uses the index to traverse each of its elements.If A is an array then each of its elements is accessed as A[i]. Programmatically, all that is required for this to work is an iterative block with a loop variable i that serves as an index (counter) incrementing from 0 to A.length-1. This is exactly what a loop does and this is the reason why we process arrays using for loops",
What is Abstraction?,"Abstraction can be defined as a technique in which you only show functionality to the user i.e., the details that you want the user to see, hiding the internal details or implementation details.",
 What is C++?,"C++, an object-oriented programming language was designed by Bjarne Stroustrup, in 1985, it was released. C++ is a superset of C, with the exception of classes, which are present in C. Stroustrup dubbed the new language ""C with Classes"" at first. After a while, though, the name was changed to C++. C++ was inspired by the C increment operator ++.",
 What is a class?,"The class is a data type that has been defined by the user. The term class is used to declare the class. The data members and member functions are contained in the class, and their access is controlled by the three modifiers: private, public, and protected. The type definition of the category of objects is defined by the class. It defines a datatype, but not the data itself; rather, it determines the datas structure.""",
 What are the advantages of C++?,"C++ not only maintains all features of the C language but also improves virtual memory and introduces a myriad of benefits, such as:C++ is a highly versatile programming language, which indicates that software written in it can run on almost any platform.Classes, objects, inheritance, polymorphism, and abstraction are all elements of C++, which is an object-oriented programming language.Inheritance is a principle in C++. With inheritance, redundant code can be eliminated and preexisting classes can be retained.Data hiding aids the programmer in implementing security applications that are not susceptible to hackers.Message passing is a connectivity methodology that enables objects to interact with one another.C++ has a vast library of functions.",
 Define tokens in C++,"A token is the smallest element of a programme that the compiler can understand. Tokens are categorised as follows:Keywords,Identifiers,Constants,Strings,Special Symbols and Operators.",
 What are the different data types present in C++?,"There are 4 Data types present in C++, they are: Primitive Datatype(basic datatype). Example- char, short, int, float, long, double, bool, etc.Derived datatype. Example- array, pointer, etc.Enumeration. Example- enumUser-defined data types. Example- structure, class, etc",
 What is Data binding and Abstraction?,"Data Binding: Data binding is the method of constructing a link between both the applications user interface and the information it shows. If the binding has the correct parameters and the information provides the appropriate notification, whenever the data has changed its value, the components that are connected to it instantly adapt to the change.""Data Abstraction: Data abstraction is a process of reducing an enormous amount of information to a simple representation of the whole. Abstraction is the process of diminishing something to a set of basic characteristics by eliminating or subtracting characteristics.",
 What is the difference between C and C++?,"C is a procedure-oriented programming language.C++ is an object-oriented programming language.C does not support Data hiding.Encapsulation hides data to guarantee that data structures and operators are used correctly.C is a subset if C++.C++ is a superset of C.Overloading of functions and operators is not possible in C.Overloading of functions and operators is possible in C++.In C, there are no namespace characteristics.C++ makes use of namespace to avoid name clashes.",
 What is the object in C++?,"A classs instance is an object. Because a class is a user-defined data type, its possible to refer to an object as a variable of that data type.""",
 How can you specify a class in C++?,"In C++, you can specify a class by using the term class followed by an identifier (class name). The body of the class is defined inside curly brackets. It comes to an end with a semi-colon.",
 What are the different types of Operators in C++?,"Arithmetic Operators, Assignment Operators, Relational Operators, Logical Operators, Bitwise Operators and Other Operators.",
 Explain what are the characteristics of Class Members in C++?,"In C++, data and functions are members.Data members and methods must always be defined within the class declaration.A member cannot be re-declared within a class.No other members can be added outside of the class specification.",
 Discuss the difference between prefix and postfix,"In computing, there are two notations: prefix and postfix. The distinction between prefix and postfix notation is that the prefix writes the operator before the operands, whereas the postfix writes the operator after the operands.",
 What is the difference between equal to (==) and assignment operator(=)?,"The == operator determines whether or not the two operands are equal. If this is the case, it returns true. Otherwise, false is returned.The assignment operator ""="" assign the right-hand value to the left-hand variable.",
 What is the difference between struct and class?,"By default, the structures members are open to the public.By default, members of the class are private.When creating a struct from a class/struct, the underlying class/default structs access specifiers are public.Default access specifiers are private when deriving a class.",
 What is polymorphism in C++?,"Polymorphism is defined as the presence of several forms. Its function depends greatly upon the circumstances. While we have several classes which are connected to each other through inheritance, this happens.Consider a base class named car, which has a method called car brand (). Mercedes, BMW, and Audi are examples of derived automobile classes, and each has its own implementation of a car.Polymorphism has two types:Compile Time Polymorphism.Runtime Polymorphism.",
 What is operator overloading?,"Operator overloading is a necessary component for performing operations on user-defined data types. We can change the default meaning of operators like +, -, *, /, =, and so on by overloading them.",
 What is the difference between reference and pointer?,"Reference is a temporary variable that acts like an alias for an existing variable.A pointer is a variable that stores a variables address.To retrieve the value of a reference variable, no indirection operator is required. The value of a reference variable can be accessed directly.To get to the value of a pointer variable, youll need to use an indirection operator.The reference variable cannot be reassigned with various address values once it has been assigned.Because the pointer variable is an independent variable, it can be renamed to point to various objects.The reference variable cannot have a null value applied to it.The reference variable can be given a null value.At the moment of declaration, the variable must be initialised.The variable does not need to be initialised at the moment of declaration.""",
 What are access modifiers?,"C++ has three access modifiers: public, private, and protected. Data hiding is one of the most important characteristics of object-oriented programming languages like C++. Data hiding refers to limiting access to a classs data members.""",
 Define the basic type of the variable used for a different condition in C++,"In C++, a variable is used for a variety of circumstances.Bool: Stores boolean values in a variable (true or false)char: Character kinds are storedint: variable with integral valuesfloat and double: Variables with large and floating-point values.",
 Explain what is the use of void main () in C++ language?,"The void main() specifies that the function will not return any value, whereas the int main() specifies that the function can return data of the integer type. We can utilise the void main when our programme is basic and will not terminate before reaching the last line of code, or when the code is error-free ().",
 Explain constructor in C++,"When an object is formed, the function Object() is a member function that is called automatically. Constructors have the same name as the class they belong to, so the compiler recognises the member function as a function Object(). Constructors also dont have a return type.""",
 What are destructors in C++?,"When an object is created for the first time, the function Object() is automatically invoked. Similarly, when an object is destroyed, a destructor function is automatically invoked. A destructor is preceded by a tilde and has the same name as the function Object().",
 What are the various OOPs concepts in C++?,"The various OOPs Concepts in C++ are:Object, Class, Inheritance, Polymorphism, Encapsulation and Abstraction.",
 Define virtual function,"To replace the implementations provided by the base class, a virtual function is utilised. Even if the object in question is accessed via a base pointer rather than a derived pointer, the substitution has always been called when the object in question is of the derived class.A virtual function is a member function that is defined by the derived class but is present in the base class.When the same function name is used in both the base and derived classes, the base class function is declared with the keyword virtual.Whenever a function is declared virtual, C++ determines which function to call at runtime based on the type of object referenced by the base class pointer. By altering the base class pointer to point to distinct objects, we can execute many copies of the virtual functions.",
" What is the purpose of the ""delete"" operator?","An objects delete operation removes a specified property. If the deletion is successful, it will return true; otherwise, it will return false.""",
 What is the difference between delete and delete[]?,"Delete [] releases an array of allocated memory that was allocated with new[], whereas delete releases a single chunk of memory that was allocated with new.",
 What is a class template?,A class template specifies how classes are generated based on parameters. Containers are typically implemented using class templates. A class template is created by providing it with a set of types as template parameters.,
 What is call by value and call by reference in C++?,"Call by value: We transmit a copy of the parameter to the functions when using the call by value approach. A new memory is assigned to these duplicated values, and changes to these values do not affect the variable in the main function.Call by reference: We supply the address of the variable to the call by reference technique, and the address is utilised to retrieve the actual argument used in the function call. As a result, changes to the parameter affect the passing argument.",
 What is an inline function?,"If a function is inline, the compiler stores a copy of the functions code at each point where it is called during compile time. One of the most significant advantages of using an inline function is that it avoids the overhead of calling a regular function.""",
 Explain how functions are classified in C++?,"In C++ functions are classified as: Return type, Function Name, Parameters, Function body.",
 What is a scope resolution operator?,"The:: (scope resolution) operator qualifies concealed names so they can be utilised. If an explicit declaration of the same name in a block or class obscures a namespace scope or global scope name, you can use the unary scope operator.",
 What is function overloading?,"Multiple functions with the same name can be defined in the same scope in C++. Overloaded functions are what theyre termed when theyre overloaded. You can provide alternative meanings for a function depending on the kinds and quantity of arguments with overloaded functions.""",
 Difference between operator overloading and function overloading?,"Operator overloading: Operator overloading is defined as the ability to redefine a standard operator such that it takes on a new meaning when applied to instances of a class.Function overloading: Function overloading is when a function can have multiple versions. A functions signature varies, indicating that it has a different set of parameters in each iteration.""",
 Define 'std',"STL is derived as Standard Template Library. In C++, the default namespace standard is Std.",
 Compare compile-time polymorphism and Run-time polymorphism,"In Compile-time polymorphism, we'll find out which method will be called at build time. The compiler then resolves the call.In Run-time polymorphism, we learn which method will be invoked during runtime. The compiler does not resolve the call.Because it is known at compile-time, it allows for quick execution.Because it is known at run time, it delivers slower execution than compile-time polymorphism.In compile-time polymorphism function overloading and operator overloading are used to achieve this.In Run-time polymorphism virtual functions and pointers can help with this.""",
 What do you know about friend class and friend function?,"A friend class has access to the secret, protected, and public members of other classes it has marked as friends.Friend function, like friend class, can access members who are secret, protected, or public. Friend functions, on the other hand, are not members.",
 What are the characteristics of a friend function?,"The function isnt part of the class to something that is been added as a buddy.Because it isnt in the scope of that class, it cant be called using the object.It can be used without the object, just like any other function.It cant get at the member names simply, so it has to utilise an object name and the dot membership, operator.It might be stated in either the private or public sections.""",
 Which operations are permitted on pointers?,"The operations that can be performed on pointers are as follows:Incrementing or decrementing a pointer: Increasing the size of a pointer means increasing the size of the data type to which it points.There are two types of increment pointers:Pre-increment pointer: The pre-increment operator increases the operands value by one, and the expressions value becomes the increased value. If ptr is a pointer, then ++ptr represents a pre-increment pointer.Post-increment pointer: The post-increment operator increases the operand by one, but the value of the expression will be the operands value before it was increased by one. If ptr is a pointer, then ptr++ represents a post-increment pointer.Subtracting a pointer from another pointer: The number of elements existing between two members of an array is returned when two pointers pointing to the members of the array are subtracted.",
 What is the difference between an array and a list?,"A list is made up of heterogeneous elements, whereas an array is made up of homogenous components.Memory allocation in an array is static and continuous, whereas memory allocation in a list is dynamic and unpredictable.Users of Array do not need to keep track of the next memory allocation, whereas users of List must keep track of the next memory allocation location.",
 Discuss the difference between new and malloc,"new is an operator.malloc() is a function.It calls the constructor.The malloc function doesn't call the constructor.When using new, there is no need to specify memory size ().You have to specify the memory size.new operator can be overloaded.malloc() can never be overloaded.",
 What is an abstract class and when do you use it?,"An abstract class is one that has no objects that can be created. As a parent for the derived classes, such a class exists. By including a pure virtual function in a class, we can make it abstract.",
 What is an overflow error?,"Whenever a program is provided a number, value, or variable that it cannot manage, an overflow error occurs. This is a common programming mistake, collaborating with integer or even other numerals.",
 Explain inheritance,"The act of creating new classes, known as derived classes, from existing classes is referred to as inheritance. Base classes refer to the pre-existing classes. Derived classes inherit all of the capabilities of the base class, but they can add their own features and enhancements.",
 What is overloading?,"When a single object behaves in multiple ways, it is called overloading. Even if two objects have the same name, they execute different functions.C++ allows you to define multiple definitions for the same function name or operator within the same scope. Overloading is a term that refers to the same thing as function overloading.Overloading is of two types:",
 What is STL?,"The Standard Template Library (STL) is a set of C++ template classes that would provide commonly used programming data structures and operations, such as lists, stacks, and arrays. Its an algorithm, iterator, and container class library.""",
 What are the methods of exporting a function from a DLL?,There are two approaches:By Using the type library in the DLL.By Using the DLL instance to get a reference to the function.,
 Explain what is C++ exceptional handling?,"The practice of handling runtime faults in C++ is known as exception handling. We handle exceptions so that the applications usual flow can be preserved even when runtime issues occur. An exception in C++ is a run-time event or object. The std::exception class is where all exceptions are derived.""",
 Mention what are the types of Member Functions?,"The types of member functions are:Simple functions, Static functions, Const functions, Inline functions, Friend functions.",
 What is a copy constructor?,A copy constructor is a member function that uses another object from the same class to initialize an object. The general function prototype of a copy constructor is as follows:,
 Mention what are the decision-making statements in C++? Explain if statement with an example?,"The decision making statements in C++ are: if statement, switch statement and conditional operator.",
 Explain what is multi-threading in C++?,"Multitasking is the capability that allows your computer to execute two or more programs at the same time. Multithreading is a sophisticated form of multitasking.A multithreaded program is made up of two or more components that can run at the same time. A thread is a component of such a program, and each thread defines a distinct execution path.",
 What is the difference between virtual functions and pure virtual functions?,"A virtual function is a base class member function which may modify in a derived class. The keyword virtual is used to declare it.A pure virtual function is one that has no implementation and is declared by setting the value to 0. It doesnt have a body.Example:""",
 What are void pointers?,"A void pointer is a pointer that doesnt have a datatype attached to it. It may store any form of address.""",
 How do you allocate and deallocate memory in C++?,"In C++, the new operator is used to allocate memory, whereas the deletes operator is used to deallocate memory.",
 What is a virtual destructor?,"In C++, a virtual destructor is used in the base class to allow the derived class object to be destroyed as well. The tilde operator and the virtual keyword are used before the constructor to declare a virtual destructor.",
 Define the Local and Global scope of a variable,"Global variables are useful for data that are relatively constant or that must be accessed by multiple functions in the script, such as a session id. A local variable, on the other hand, has a limited scope: it only exists within the block in which it was defined. The variable is destroyed and its values are lost once that block ends.",
 Can we call a virtual function from a constructor?,"We can use a constructor to call a virtual function. However, in this scenario, the behavior differs slightly. The virtual call is resolved at runtime when a virtual function is invoked. The current classs member function is always invoked. That is, the constructor does not support virtual machines.""",
 Explain what is upcasting in C++?,"Upcasting is the process of transforming a derived-class pointer or reference to a base class. To look at it another way, one can consider a derived type as though it were its base type by upcasting it. Public inheritance is always allowed when no explicit type cast is used.",
What is a Data Structure?,"The Data Structure is the way data is organized (stored) and manipulated for retrieval and access. It also defines the way different sets of data relate to one another, establishing relationships and forming algorithms.",
Describe the types of Data Structures?,"The following are the types of data structures:Lists: A collection of related things linked to the previous or/and following data items.Arrays: A collection of values that are all the same.Records: A collection of fields, each of which contains data from a single data type.Trees: A data structure that organizes data in a hierarchical framework. This form of data structure follows the ordered order of data item insertion, deletion, and modification.Tables: The data is saved in the form of rows and columns. These are comparable to records in that the outcome or alteration of data is mirrored across the whole table.",
What is a Linear Data Structure? Name a few examples.,"A data structure is linear if all its elements or data items are arranged in a sequence or a linear order. The elements are stored in a non-hierarchical way so that each item has successors and predecessors except the first and last element in the list.Examples of linear data structures are Arrays, Stack, Strings, Queue, and Linked List.",
What are some applications of Data Structures?,"In terms of data structure interview questions, this is one of the most frequently asked question.Numerical analysis, operating system, AI, compiler design, database management, graphics, statistical analysis, and simulation.",
What is the difference between file structure and storage structure?,"The difference lies in the memory area accessed. Storage structure refers to the data structure in the memory of the computer system, whereas file structure represents the storage structure in the auxiliary memory.",
What is a multidimensional array?,"A multidimensional array is a multidimensional array with more than one dimension. It is an array of arrays or an array with numerous layers. The 2D array, or two-dimensional array, is the most basic multidimensional array. As you'll see in the code, it's technically an array of arrays. A 2D array is also referred to as a matrix or a table with rows and columns. Declaring a multidimensional array is the same as saying a one-dimensional array. We need to notify C that we have two dimensions for a two-dimensional array.",
How are the elements of a 2D array stored in the memory?,"Row-Major Order: -In row-major ordering, all of the rows of a 2D array are stored in memory in a contiguous manner.First, the first row of the array is entirely stored in memory, followed by the second row of the array, and so on until the final row.Column-Major Order: In column-major ordering, all of the columns of a 2D array are stored in memory in the same order. The first column of the array is entirely saved in memory, followed by the second row of the array, and so on until the last column of the array is wholly recorded in memory.",
What is a linked list Data Structure?,"It's a linear Data Structure or a sequence of data objects where elements are not stored in adjacent memory locations. The elements are linked using pointers to form a chain. Each element is a separate object, called a node.Each node has two items: a data field and a reference to the next node. The entry point in a linked list is called the head. Where the list is empty, the head is a null reference and the last node has a reference to null.A linked list is a dynamic data structure, where the number of nodes is not fixed, and the list has the ability to grow and shrink on demand.It is applied in cases where:We deal with an unknown number of objects or dont know how many items are in the listWe need constant-time insertions/deletions from the list, as in real-time computing where time predictability is criticalRandom access to any elements is not neededThe algorithm requires a data structure where objects need to be stored irrespective of their physical address in memoryWe need to insert items in the middle of the list as in a priority queueSome implementations are stacks and queues, graphs, directory of names, dynamic memory allocation, and performing arithmetic operations on long integers.",
Are linked lists considered linear or non-linear Data Structures?,"Linked lists are considered both linear and non-linear data structures depending upon the application they are used for. When used for access strategies, it is considered as a linear data-structure. When used for data storage, it is considered a non-linear data structure.",
What are the advantages of a linked list over an array? In which scenarios do we use Linked List and when Array?,"This is another frequently asked data structure interview questions! Advantages of a linked list over an array are:Insertion and deletion of nodes is an easier process, as we only update the address present in the next pointer of a node. It's expensive to do the same in an array as the room has to be created for the new elements and existing elements must be shifted.As a linked list is a dynamic data structure, there is no need to give an initial size as it can grow and shrink at runtime by allocating and deallocating memory. However, the size is limited in an array as the number of elements is statically stored in the main memory.As the size of a linked list can increase or decrease depending on the demands of the program, and memory is allocated only when required, there is no memory wasted. In the case of an array, there is memory wastage. For instance, if we declare an array of size 10 and store only five elements in it, then the space for five elements is wasted.Data structures like stack and queues are more easily implemented using a linked list than an array.Some scenarios where we use linked list over array are:When we know the upper limit on the number of elements in advanceWhen there are a large number of add or remove operationsWhen there are no large number of random access to elementsWhen we want to insert items in the middle of the list, such as when implementing a priority queueSome scenarios in which we use array over the linked list are:When we need to index or randomly access elementsWhen we know the number of elements in the array beforehand, so we can allocate the correct amount of memoryWhen we need speed when iterating through all the elements in the sequenceWhen memory is a concern; filled arrays use less memory than linked lists, as each element in the array is the data but each linked list node requires the data as well as one or more pointers to the other elements in the linked listIn summary, we consider the requirements of space, time, and ease of implementation to decide whether to use a linked list or array.",
What is a doubly-linked list? Give some examples.,"It is a complex type (double-ended LL) of a linked list in which a node has two links, one that connects to the next node in the sequence and another that connects to the previous node. This allows traversal across the data elements in both directions.Examples include:A music playlist with next and previous navigation buttons.The browser cache with BACK-FORWARD visited pagesThe undo and redo functionality on a browser, where you can reverse the node to get to the previous page",
How do you reference all of the elements in a one-dimension array?,"Using an indexed loop, we may access all of the elements in a one-dimensional array. The counter counts down from 0 to the maximum array size, n, minus one. The loop counter is used as the array subscript to refer to all items of the one-dimensional array in succession.",
What are dynamic Data Structures? Name a few.,"They are collections of data in memory that expand and contract to grow or shrink in size as a program runs. This enables the programmer to control exactly how much memory is to be utilized.Examples are the dynamic array, linked list, stack, queue, and heap.",
What is an algorithm?,An algorithm is a step by step method of solving a problem or manipulating data. It defines a set of instructions to be executed in a certain order to get the desired output.,
Why do we need to do an algorithm analysis?,"A problem can be solved in more than one way using several solution algorithms. Algorithm analysis provides an estimation of the required resources of an algorithm to solve a specific computational problem. The amount of time and space resources required to execute is also determined.The time complexity of an algorithm quantifies the amount of time taken for an algorithm to run as a function of the length of the input. The space complexity quantifies the amount of space or memory taken by an algorithm, to run as a function of the length of the input.",
What is a stack?,"A stack is an abstract data type that specifies a linear data structure, as in a real physical stack or piles where you can only take the top item off the stack in order to remove things. Thus, insertion (push) and deletion (pop) of items take place only at one end called top of the stack, with a particular order: LIFO (Last In First Out) or FILO (First In Last Out).",
Where are stacks used?,"Expression, evaluation, or conversion of evaluating prefix, postfix, and infix expressions,Syntax parsing,String reversal,Parenthesis checking and Backtracking.",
What are the operations that can be performed on a stack?,"A stack is a linear data structure that operates on the same concept, in that components in a stack are added and deleted only from one end, referred to as the TOP. As a result, a stack is known as a LIFO (Last-In-First-Out) data structure because the piece that was put last is the first to be removed.A stack may perform three fundamental operations:PUSH: The push action inserts a new element into the stack. The new feature is placed at the top of the stack. However, before inserting the value, we must first verify if TOP=MAX=1, since if so, the stack is filled, and no more insertions are possible. An OVERFLOW message is printed if an attempt is made to put a value into an existing stack.POP: The pop operation is performed to remove the stack's topmost element. However, before removing the value, we must first verify if TOP=NULL, since if it is, the stack is empty, and no further deletions are permitted. An UNDERFLOW notice is produced if an attempt is made to erase a value from a stack that is already empty.PEEK: A peek action returns the value of the stack's topmost element without removing it from the stack. On the other hand, the Peek operation first checks if the stack is empty, i.e., if TOP = NULL, then an appropriate message is written. Otherwise, a value is returned.",
What is a postfix expression?,"A postfix expression is made up of operators and operands, with the operator coming after the operands. That is, in a postfix expression, the operator comes after the operands. Likewise, what is the proper postfix form? The correct postfix phrase is A B + C *.",
What is a queue Data Structure?,"In this type of data structure interview questions, you can also discuss your experience and situations using queue. A queue is an abstract data type that specifies a linear data structure or an ordered list, using the First In First Out (FIFO) operation to access elements. Insert operations can be performed only at one end called REAR and delete operations can be performed only at the other end called FRONT.",
List some applications of queue Data Structure.,"To prioritize jobs as in the following scenarios:As waiting lists for a single shared resource in a printer, CPU, call center systems, or image uploads; where the first one entered is the first to be processed.In the asynchronous transfer of data; or example pipes, file IO, and sockets.As buffers in applications like MP3 media players and CD players.To maintain the playlist in media players (to add or remove the songs)",
What is a Dequeue?,"It is a double-ended queue, or a data structure, where the elements can be inserted or deleted at both ends (FRONT and REAR).",
What operations can be performed on queues?,enqueue() adds an element to the end of the queue.dequeue() removes an element from the front of the queue.init() is used for initializing the queue.isEmptytests for whether or not the queue is empty.The front is used to get the value of the first data item but does not remove it.The rear is used to get the last item from a queue.,
What are the advantages of the heap over a stack?,"Heap is more flexible than the stack because memory space can be dynamically allocated and de-allocated as needed.Heap memory is used to store objects in Java, whereas stack memory is used to store local variables and function call.Objects created in the heap are visible to all threads, whereas variables stored in stacks are only visible to the owner as private memory.When using recursion, the size of heap memory is more whereas it quickly fill-ups stack memory.",
Where can stack Data Structure be used?,Expression evaluation.Backtracking.Memory management.Function calling and return,
What is the difference between a PUSH and a POP?,"The acronyms stand for Pushing and Popping operations performed on a stack. These are ways data is stored and retrieved.PUSH is used to add an item to a stack, while POP is used to remove an item.PUSH takes two arguments, the name of the stack to add the data to and the value of the entry to be added. POP only needs the name of the stack.When the stack is filled and another PUSH command is issued, you get a stack overflow error, which means that the stack can no longer accommodate the last PUSH. In POP, a stack underflow error occurs when youre trying to POP an already empty stack.",
Which sorting algorithm is considered the fastest? Why?,"A single sorting algorithm can't be considered best, as each algorithm is designed for a particular data structure and data set. However, the QuickSort algorithm is generally considered the fastest because it has the best performance for most inputs.Its advantages over other sorting algorithms include the following:Cache-efficient: It linearly scans and linearly partitions the input. This means we can make the most of every cache load.Can skip some swaps: As QuickSort is slightly sensitive to input that is in the right order, it can skip some swaps.Efficient even in worst-case input sets, as the order is generally random.Easy adaption to already- or mostly-sorted inputs.When speed takes priority over stability.",
